(Input Var1)Condenser_Specification_Value,(Input Var2)Temperature (K),(Output Var1)Distillate - Molar Fraction (Liquid 1) / Benzene (),(Output Var2)QC - Energy Flow (kW),(Output Var3)QR - Energy Flow (kW),(Output Var4)Bottoms - Molar Fraction (Liquid 1) / Benzene (),(Input Var3)Feed - Molar Fraction (Vapor) (),(Input Var4)Stage_Temperature_1 (K),(Input Var5) Stage_Temperature_20 (K)
2.74138,382.414,1,617.38,465.921,0.0132837,0.463553,353.317,365.008
2.74138,385.931,1,617.38,465.921,0.0132837,0.604735,353.317,365.008
2.74138,389.448,1,617.38,465.921,0.0132837,0.762021,353.317,365.008
2.74138,392.966,1,617.38,465.921,0.0132837,0.954088,353.317,365.008
2.74138,396.483,1,617.38,465.921,0.0132837,1,353.317,365.008
2.74138,400,1,617.38,465.921,0.0132837,1,353.317,365.008
2.89655,298,1,642.985,804.915,0.0131725,0,353.317,360.113
2.89655,301.517,1,642.985,799.167,0.0131756,0,353.317,360.162
2.89655,305.034,1,642.985,793.369,0.0131813,0,353.317,360.213
2.89655,308.552,1,642.985,787.519,0.0131961,0,353.317,360.264
2.89655,312.069,1,642.985,781.619,0.0132002,0,353.317,360.317
2.89655,315.586,1,642.985,775.677,0.0131284,0,353.317,360.37
2.89655,319.103,1,642.985,769.676,0.0131251,0,353.317,360.425
2.89655,322.621,1,642.985,763.624,0.0131215,0,353.317,360.481
2.89655,326.138,1,642.985,757.519,0.0131186,0,353.317,360.539
2.89655,329.655,1,642.985,751.363,0.0131145,0,353.317,360.598
2.89655,333.172,1,642.985,745.155,0.0131105,0,353.317,360.658
2.89655,336.69,1,642.985,738.894,0.0131063,0,353.317,360.721
2.89655,340.207,1,642.985,732.58,0.0131022,0,353.317,360.784
2.89655,343.724,1,642.985,726.214,0.0130961,0,353.317,360.85
2.89655,347.241,1,642.985,719.794,0.0130899,0,353.317,360.917
2.89655,350.759,1,642.985,713.322,0.0130847,0,353.317,360.985
2.89655,354.276,1,642.985,706.796,0.0130805,0,353.317,361.056
2.89655,357.793,1,642.985,700.216,0.013073,0,353.317,361.128
2.89655,361.31,1,642.985,693.582,0.0130596,0,353.317,361.203
2.89655,364.828,1,642.985,686.894,0.0130561,0,353.317,361.279
2.89655,368.345,1,642.985,680.142,0.0131199,0,353.317,361.359
2.89655,371.862,1,642.985,673.343,0.0131212,0,353.317,361.44
2.89655,375.379,1,642.985,606.817,0.0130673,0.174676,353.317,362.325
2.89655,378.897,1,642.985,547.772,0.0132245,0.324689,353.317,363.284
2.89655,382.414,1,642.985,491.534,0.0132202,0.463553,353.317,364.408
2.89655,385.931,1,642.985,433.232,0.0132053,0.604735,353.317,365.867
2.89655,389.448,1,642.985,433.232,0.0132053,0.762021,353.317,365.867
2.89655,392.966,1,642.985,433.232,0.0132053,0.954088,353.317,365.867
2.89655,396.483,1,642.985,433.232,0.0132053,1,353.317,365.867
2.89655,400,1,642.985,433.232,0.0132053,1,353.317,365.867
3.05172,298,1,668.591,830.524,0.0131472,0,353.317,359.902
3.05172,301.517,1,668.591,824.776,0.0131497,0,353.317,359.948
3.05172,305.034,1,668.591,818.978,0.0131555,0,353.317,359.995
3.05172,308.552,1,668.591,813.13,0.0131595,0,353.317,360.044
3.05172,312.069,1,668.591,807.23,0.0131624,0,353.317,360.093
3.05172,315.586,1,668.591,801.279,0.0131724,0,353.317,360.144
3.05172,319.103,1,668.591,795.276,0.013179,0,353.317,360.196
3.05172,322.621,1,668.591,789.222,0.013183,0,353.317,360.249
3.05172,326.138,1,668.591,783.124,0.0131276,0,353.317,360.303
3.05172,329.655,1,668.591,776.968,0.0131226,0,353.317,360.358
3.05172,333.172,1,668.591,770.759,0.0131195,0,353.317,360.415
3.05172,336.69,1,668.591,764.498,0.0131168,0,353.317,360.473
3.05172,340.207,1,668.591,758.184,0.0131132,0,353.317,360.532
3.05172,343.724,1,668.591,751.818,0.0131094,0,353.317,360.593
3.05172,347.241,1,668.591,745.398,0.0131056,0,353.317,360.656
3.05172,350.759,1,668.591,738.925,0.0131016,0,353.317,360.72
3.05172,354.276,1,668.591,732.399,0.0130963,0,353.317,360.786
3.05172,357.793,1,668.591,725.818,0.0130906,0,353.317,360.854
3.05172,361.31,1,668.591,719.184,0.0130855,0,353.317,360.923
3.05172,364.828,1,668.591,712.496,0.0130811,0,353.317,360.994
3.05172,368.345,1,668.591,705.753,0.013074,0,353.317,361.067
3.05172,371.862,1,668.591,698.955,0.0130619,0,353.317,361.142
3.05172,375.379,1,668.591,632.414,0.0131399,0.174676,353.317,361.964
3.05172,378.897,1,668.591,573.395,0.0131052,0.324689,353.317,362.847
3.05172,382.414,1,668.591,517.131,0.0132978,0.463553,353.317,363.869
3.05172,385.931,1,668.591,458.837,0.0132011,0.604735,353.317,365.183
3.05172,389.448,1,668.591,458.837,0.0132011,0.762021,353.317,365.183
3.05172,392.966,1,668.591,458.837,0.0132011,0.954088,353.317,365.183
3.05172,396.483,1,668.591,458.837,0.0132011,1,353.317,365.183
3.05172,400,1,668.591,458.837,0.0132011,1,353.317,365.183
3.2069,298,1,694.197,856.132,0.0131338,0,353.317,359.704
3.2069,301.517,1,694.197,850.384,0.0131356,0,353.317,359.748
3.2069,305.034,1,694.197,844.586,0.0131373,0,353.317,359.792
3.2069,308.552,1,694.197,838.738,0.013139,0,353.317,359.837
3.2069,312.069,1,694.197,832.839,0.0131419,0,353.317,359.884
3.2069,315.586,1,694.197,826.888,0.0131447,0,353.317,359.931
3.2069,319.103,1,694.197,820.886,0.0131471,0,353.317,359.98
3.2069,322.621,1,694.197,814.832,0.0131503,0,353.317,360.03
3.2069,326.138,1,694.197,808.727,0.0131581,0,353.317,360.081
3.2069,329.655,1,694.197,802.569,0.0131614,0,353.317,360.133
3.2069,333.172,1,694.197,796.359,0.0131674,0,353.317,360.187
3.2069,336.69,1,694.197,790.096,0.0131814,0,353.317,360.241
3.2069,340.207,1,694.197,783.781,0.0131903,0,353.317,360.297
3.2069,343.724,1,694.197,777.413,0.013195,0,353.317,360.355
3.2069,347.241,1,694.197,771.002,0.0131156,0,353.317,360.413
3.2069,350.759,1,694.197,764.529,0.0131128,0,353.317,360.473
3.2069,354.276,1,694.197,758.003,0.0131088,0,353.317,360.534
3.2069,357.793,1,694.197,751.423,0.0131042,0,353.317,360.597
3.2069,361.31,1,694.197,744.788,0.0131004,0,353.317,360.662
3.2069,364.828,1,694.197,738.099,0.0130958,0,353.317,360.729
3.2069,368.345,1,694.197,731.356,0.0130906,0,353.317,360.797
3.2069,371.862,1,694.197,724.558,0.0130857,0,353.317,360.867
3.2069,375.379,1,694.197,658.023,0.0131166,0.174676,353.317,361.628
3.2069,378.897,1,694.197,599.007,0.0130471,0.324689,353.317,362.442
3.2069,382.414,1,694.197,542.77,0.0130308,0.463553,353.317,363.378
